iter	Passed	Remaining
0	0	76
1	1	71
2	2	67
3	2	63
4	3	63
5	4	63
6	4	62
7	5	61
8	5	60
9	6	59
10	7	59
11	8	59
12	8	58
13	9	58
14	10	57
15	10	56
16	11	55
17	12	55
18	12	54
19	13	54
20	14	53
21	14	52
22	15	52
23	16	51
24	17	51
25	17	50
26	18	50
27	19	49
28	19	48
29	20	48
30	21	47
31	22	46
32	22	46
33	23	45
34	23	44
35	24	43
36	25	42
37	25	42
38	26	41
39	27	40
40	27	39
41	28	38
42	28	38
43	29	37
44	30	36
45	30	35
46	31	35
47	31	34
48	32	33
49	33	33
50	33	32
51	34	31
52	35	31
53	36	30
54	36	30
55	37	29
56	38	28
57	38	28
58	39	27
59	40	26
60	41	26
61	41	25
62	42	25
63	43	24
64	44	23
65	44	23
66	45	22
67	46	21
68	47	21
69	47	20
70	48	19
71	49	19
72	49	18
73	50	17
74	50	16
75	51	16
76	52	15
77	52	14
78	53	14
79	54	13
80	54	12
81	55	12
82	56	11
83	56	10
84	57	10
85	58	9
86	58	8
87	59	8
88	60	7
89	60	6
90	61	6
91	62	5
92	63	4
93	63	4
94	64	3
95	65	2
96	65	2
97	66	1
98	67	0
99	67	0
